signature (qtm),vertices,edges (qtm),diameter (qtm),example antipodes (qtm),radius (qtm),example center (qtm),diameter (htm),example antipodes (htm),radius (htm),example center (htm)
0x100000B7A00421,1356,2556,20,0x40b5b00114 => 0x20040b5a00888,13,0x1248b5a00100,15,0x20040b5a00888 => 0x440b5a00821,9,0x180400b7a00008
0xF4200C01,1348,2376,23,0x300004b4021000 => 0x44b4004084,14,0x21000f4002200,16,0x40b4400094 => 0x100c00b6002000,11,0x20000f4002210
0x1F400000060,1344,2416,28,0x412050200060 => 0x112050400060,15,0x13840200060,20,0x112050400060 => 0x46110400108,12,0x8013440000108
0x10B4008080047F,1344,2168,39,0x2f0009008005ad => 0x10b40900800fe0,21,0x2d009300000b5a,32,0x10b40900800b5a => 0x2f00090080007f,18,0x2d100100800b5e
0x108580800005A3,1344,1936,34,0x2023830004002d => 0x2023090000023d,18,0xc40010018085e,27,0x2023090000023d => 0x10218280000c2d,14,0xe40010018085a
0x100000800005A3,1342,2584,17,0x840000008022d => 0x20102000015a0,11,0x1000008000023d,14,0x8010000000c2d => 0x2010000000bc4,9,0x10800004bc0
0x10000080800C63,1334,2502,117,0x10a10005860 => 0x2188010410c,59,0x900800c63,73,0x10a10005860 => 0x2188010410c,37,0x900800c63
0x104000843DB421,1334,2240,22,0x1019808441e822 => 0x22040704398822,12,0x400843df421,17,0x1003828441e222 => 0x1a00844de422,9,0x100400843db421
0x1082308423C421,1334,2192,46,0x8af20409a220 => 0xc1340407d820,23,0x108036440d8031,35,0xc1340407d820 => 0x82f204498221,18,0x10c0308433c021
0x210B1108408C42,1332,2200,43,0x23030518800311 => 0xc440118d80888,23,0x210b1308409042,33,0x1021928810b440 => 0x22230118c00311,17,0x11099288409042
0x21088300000863,1330,2184,57,0xa310000141118 => 0xa61000014011c,32,0x108c00001c5060,39,0x861020014011c => 0xa310000141118,22,0x108c00001c5060
0x10058087AC0431,1330,1804,73,0x18080187bc0c20 => 0x20070905ba0821,37,0x440185be4c08,56,0x20070905ba0821 => 0x8180187bc0c20,28,0x20000185be4c21
0x139E0090002D,1328,1792,62,0x8119a00842b40 => 0x184400104c80da,46,0x100c0000d8905e,51,0xa01981020422d => 0x20501280c007b0,38,0xa4090105800da
0x85B0062D8021,1326,2380,26,0x2088338403b020 => 0x817204499222,16,0x881b0442d8220,18,0x81b244499220 => 0x8c1b2040ba020,11,0x881b0442d8220
0x1000188C09C46,1324,1824,73,0x2200188c09c0c => 0x30301388c00088,37,0x300188c09c0c,61,0x30301388c00088 => 0x4400188c09c0c,31,0xc000188c09c0c
0x10040085AC0401,1320,2248,22,0x20038105a00204 => 0x8100105bc0800,12,0x10418085a00014,17,0x8100105bc0800 => 0x20430105a00204,10,0x10418085a00014
0x108000F62005A1,1317,2318,42,0x2048b41225a0 => 0x40004f6000b46,22,0x60000f62005a1,27,0xc0004f60005a2 => 0x2048b41225a0,15,0x60000f620003d
0x108000842E042D,1316,2064,27,0x1080410458082d => 0x11018086200b41,14,0x1081c0842007a0,19,0x80c10458085a => 0x102180c420082d,10,0x8000863c042d
0x1087B88420042D,1315,1858,29,0x208bb104204bc0 => 0x208036841c045e,17,0x1881be840005a1,24,0x10c3b0842007a2 => 0x1081b68410045e,14,0x1083be84000bc0
0x108000802C3421,1312,2552,21,0x210406802c0408 => 0x10880d00580808,14,0x11018080406422,15,0x20870100406102 => 0x11058680300008,10,0x20870700200042
0x1085C084200463,1312,2184,61,0x10600863c0461 => 0x308045041c4860,31,0x108580c4200c61,41,0x2020c1043c0861 => 0x308006861c0460,21,0x108180c4007c60
0x100401843D8C21,1310,2076,37,0x204305041dc820 => 0x2003890419a830,20,0x104180840df420,27,0x20438104599820 => 0x100982840da620,16,0x100780842d8421
0x10039E80008401,1310,1968,66,0x20439500009202 => 0x80813001ca810,33,0x20500110986880,54,0x20439500009202 => 0x201b0110802890,27,0x22030d10800882
0x308000F4200C21,1308,2432,52,0x8c002b6002310 => 0x8c40b4300103,26,0x108c00f4400043,31,0x8c002b6002310 => 0x8c40b4500103,16,0x310c00f4200180
0x800086200C2D,1308,2168,28,0x8005060005a3 => 0x10100062005a3,16,0x83000432002d,20,0x4000486000c5a => 0x8005060005a3,11,0x83000432002d
0x1101308C00C40,1308,1928,27,0x21021804b0c0 => 0x40084088c9044,17,0x80091804e0c0,19,0x30301208882040 => 0x4101208c8008c,13,0x300911820008c
0x100400800C0463,1304,2284,28,0x180d8080000118 => 0x2253010000010c,16,0x500100180863,22,0x180d8080000118 => 0x20438300040108,12,0x10038080000463
0x800085AE0421,1304,2176,21,0x20804085ac0440 => 0x11018085a20820,13,0x800087bc0420,15,0x11018087a00110 => 0x4400087ac0440,10,0x10218085a20408
0x10840085AC042D,1301,1979,28,0x20838105a005a2 => 0x11038085a00b41,15,0x840085bc042d,18,0x20830105a0062d => 0x11018085a005b1,11,0x200085bc043d
0x10840180600C21,1300,2592,42,0x4180180600223 => 0x30c00180600888,22,0x10800f80003840,29,0x22300180600111 => 0x4180180600618,15,0x21080180600c21
0x2018810040085E,1300,1864,31,0x2204008050043d => 0x1808010024085e,16,0x100a028040062d,24,0x2240008050043d => 0x818010024085e,13,0x200489002005b1
0x800184220021,1298,2476,25,0x810406080022 => 0x8900042a0008,15,0x814004280030,19,0x314004280040 => 0x10100042a000c,11,0x804184200030
0x210B9100000863,1298,2054,91,0x231b0110000462 => 0x110c11001c4860,46,0x211b8100800063,71,0x110e10800c4460 => 0x231b0110000462,36,0x21180100980863
0x8000000804,1296,4440,8,0x8040000004000 => 0x400200000002,7,0x10000800000001,7,0x20000000000204 => 0x800000011,6,0x40000004200
0x10800180600421,1292,2640,22,0x6000780006100 => 0x30100007c0040,15,0x10840180600041,16,0x4180180600104 => 0xc300006c0008,10,0x11000180600421
0x100C00808C042D,1292,1840,33,0x200f01100045a0 => 0x80c00800c845a,19,0x100f908000002d,27,0x200f01100045a0 => 0x184000800c845a,15,0x100f908000002d
0x840004218C23,1289,2268,81,0x8808204459020 => 0xc400404019230,41,0x3100004218c21,48,0xc400404019230 => 0x8808204459020,24,0x30200004218c21
0x10040080200C03,1288,2656,20,0x30000280500003 => 0x20d0000400c10,12,0xe001c5000,13,0x30200401c02 => 0x30080280103000,9,0x28e00184000
0x10500087AC043D,1288,1816,30,0x20438107a007a2 => 0x104580c5a008da,17,0x20100085be442d,23,0x18100107bc085a => 0x105180c5a00bc1,14,0x10400087bc043d
0x108430842005AD,1288,1788,52,0x1080310444007f => 0x883084204fe0,29,0x8136040005bd,33,0x803484004fe1 => 0x81300444087f,19,0x8030043c007f
0x10840180600421,1282,2548,32,0x22200180600888 => 0x4180180600608,18,0xe000180600421,23,0x18200180600608 => 0x4440180600111,12,0x700180600380
0x211B1308C0085A,1281,1800,29,0x20838108c0945e => 0x4109308d808da,18,0x21139308c0005e,23,0x20838108c0945e => 0x211397088000da,15,0x20701308d8085a
0x10B4080000442D,1280,1952,28,0x1e800200000c5a => 0xf48000000b43,17,0x16a820000105a,22,0x2368020000105a => 0x2d188000040b40,13,0x2d008200005b40
0x4018020042D,1278,2422,33,0x41040008022d => 0x1104000800da,17,0x20080180002b40,25,0x41040008022d => 0x10058000105a,13,0x4018020085a
0x188400B42DC5A1,1277,1824,25,0x20c400b45d85a1 => 0xa2008b42d85b1,14,0xe0800b40df5a0,19,0x111800b42dc7a0 => 0xa2008b41db5a0,12,0xe0800b42dc5a1
0x39A00000461,1276,2092,75,0xa050010001462 => 0x18041080100198,38,0x39a00000388,61,0xa010810001462 => 0x10041880100198,31,0x39a00000862
0x21088300400C62,1276,2000,54,0xe18008030011c => 0x23000d0004031c,32,0x10b8000401c62,38,0xc78000107060 => 0x188c008030011c,23,0x21000e001c0063
0x800185A00C21,1268,2432,29,0x1050005a80023 => 0x8d0005a80041,16,0x200185a00c30,19,0x8d0005a84020 => 0x810805a80023,12,0x20200185a00c20
0x820880304420,1264,1944,69,0xc400480001310 => 0x44082000c3040,41,0x31001004000c6,43,0x2220800186020 => 0x6100900002184,25,0x860880304020
0x100400B4600601,1254,2256,39,0x100600b4600090 => 0x24000b4700401,20,0x18000cb4002280,32,0x24000b4700401 => 0x100600b4600090,16,0xa0000b4600882
0x10843084018423,1252,2212,52,0x2088b204099020 => 0x80bb04058022,26,0x18c03084018430,34,0x8cb10401d020 => 0x80b304018423,17,0x1080388411c420
0x100000842D8421,1244,2576,18,0x2003050405c020 => 0x2003090401a420,11,0x80008842d8420,15,0x8100104398820 => 0x1801808401a030,8,0x208840da420
0x2018010044085E,1244,1796,30,0x2204088020083d => 0x20448100400bc1,16,0x38e0000043d,20,0xa000c801015a2 => 0xa000700044b41,11,0x10020e8000045e
0x1004018401C421,1236,1928,44,0x22040984018022 => 0xb020409c220,22,0x80500040d8221,33,0x20000984018431 => 0x1b00040d9020,17,0x3800409d220
0x12DA00800414,1236,1784,30,0xa089212000604 => 0x2440040849814,18,0xa040850049280,21,0xa089212000604 => 0x20509240800091,13,0xa04001016d080
0x108401FC203421,1232,1800,31,0x110407fc200444 => 0x20c001fc203821,21,0x10001fc207621,23,0x88407fc200106 => 0x20c001fc406822,15,0x6040ffc200018
0x10058085A00C01,1232,1780,36,0x20c0105b84800 => 0x20030905a00083,19,0x200c0105bc0800,26,0x22100105b84800 => 0x20030905a00211,14,0x200c0105bc0800
0x108400C7AC0421,1232,1736,59,0x4124085ae4408 => 0x1021c885b20104,30,0x108580c7a0001c,41,0x4124085ae4408 => 0x1021c885b20104,21,0x1085c085a20421
0x800184218C21,1228,2248,27,0x1110004298023 => 0xc10004298023,14,0xc00184218c20,19,0x1010c0409d020 => 0x1110004298023,10,0xc00184218c20
0x100401FC200C01,1228,2176,39,0x100003fc400c04 => 0x305001fc002800,22,0x10000ffc001800,27,0x3fc400c14 => 0x221001fc204800,15,0x10000ffc000003
0x200B8300400846,1226,1756,34,0x180801003c0846 => 0x180802805c0441,18,0x20030f00040846,23,0x224000805c0431 => 0x220409001c3820,12,0x10038e8000041c
0x100400B4200FE1,1204,1988,34,0x20600b440007f => 0x101000b440087f,18,0xa0008b42005ad,29,0x180800b4200b5a => 0x20600b44005ad,15,0xa0008b42005ad
0x200B83004008C2,1202,1728,33,0x20478100204441 => 0x101b8080401822,17,0x20038f00000898,24,0x24400805c041c => 0x180801003c081c,13,0x20038f00000831
0x20088300400C62,1198,1840,50,0xa18008030011c => 0xa04090020038c,30,0x38e0000038c,36,0x4480001c7060 => 0x30180080304188,21,0x38e00000c62
0x10002800C08,1190,2464,16,0x4310001020 => 0x8400100820020,11,0x30001082000008,14,0xc4100008100 => 0x30000040880020,9,0x8410050000008
0xF4200461,1190,2140,34,0x4b6000462 => 0x40b4400198,17,0x80000f4400460,24,0x4b6000462 => 0x40b4400198,12,0x80000f4400460
0x10838080200C3D,1188,1632,72,0xc0c00805c042d => 0x208f0100003bc0,37,0x188980804005a3,53,0x60c01003c085a => 0xc0c00805c042d,27,0x108386801005b0
0x1023BE8100042D,1186,1656,30,0x10223c810c145a => 0x226325018005b1,18,0x2033250184085e,26,0x1023ac818008da => 0x1821be81000bc0,17,0x2033250184085e
0x108000846F8423,1184,2032,31,0x110d8084638820 => 0x20c30104638c20,18,0x88006840fb420,23,0x44204841fa420 => 0xc4400c46d8420,14,0x88c00846f8420
0x108430843F8421,1184,1996,27,0x20c7310407b020 => 0x2088f30419a820,18,0x1881b0c4218621,20,0x2088f10439c820 => 0x10c431041bb820,14,0x1081f684118421
0x108C0087A00423,1180,2256,26,0x30204905a40023 => 0x8c18045a04184,18,0x30880087a00c42,16,0x30204905a40043 => 0xc38005b2008c,10,0x31080087a00c42
0x21031100000863,1180,1804,43,0x18619080000860 => 0x20230110000c62,22,0x2001009c0863,33,0x18619080000860 => 0x20230110000c62,17,0x88000808c0463
0x108400847F8421,1178,1844,41,0x111b8084638820 => 0x2080cd0419a830,21,0x108400847f8421,29,0x2083cd0401a430 => 0x111a00846f8420,16,0x10800e841fa420
0x100580802C0401,1176,2200,20,0x30478180400000 => 0x100182800c2404,13,0x104180802c0410,16,0x104180802c0600 => 0x30038580000204,10,0x200b0100580802
0x10044885A24401,1174,1992,68,0x8118047a40014 => 0x508047ac0204,36,0x185000c7a00600,53,0x508047ac0204 => 0x8118047a40014,28,0x180000c7a00614
0x100400F42005AD,1174,1962,33,0x80006b6000b5a => 0x640b440007f,18,0x100400f4200fe0,29,0x180004b6000fe0 => 0x20440b440007f,15,0x100400f4200fe0
0x10420005B0043D,1173,1736,70,0x2040805a00bc6 => 0x188005a00bc3,45,0x460005b4005e,54,0x188005a008de => 0x2040805a00bc6,35,0xa040005a0063d
0x100600B4700401,1170,2084,45,0x204400b4600c04 => 0x20204b4007c00,26,0x180006b4007200,37,0x184000b4600091 => 0x30000eb4102080,22,0x20800b4600603
0x10139E8080002D,1168,1680,26,0x1051968090005a => 0x10501300d8085a,16,0x22039110200bc1,24,0x521280cc045a => 0x1051968090005a,13,0x220b9110400bc0
0xF6200421,1161,2028,35,0x100004f6001100 => 0x244b4024008,19,0x40b4320420,25,0x244b4024008 => 0x100800f6002020,13,0xf620001c
0x1084018C200061,1156,2344,20,0x89020c182060 => 0x418018c200308,12,0x100018c007860,14,0x109820c082060 => 0x418018c200308,10,0x1084018c400860
0x10040087AC042D,1154,1753,26,0x100180c5a008da => 0x20430107a005a2,14,0x10004085bc042d,19,0x20430107a0022d => 0x100180c5a008da,11,0x10038087a0042d
0x108400806C042D,1154,1708,46,0x10238080600b41 => 0x202381006005a2,23,0x210305000067a0,35,0x102380806000da => 0x202381006005a2,18,0x10818c80002bc0
0x10864880304000,1150,2180,35,0x2210a40007080 => 0x2088c2000c3000,18,0xe0000c0200294,24,0x61044000c1210 => 0x80c300400294,12,0x700082200294
0x108000B43FB5A1,1146,1672,26,0x2008f42db5b1 => 0x1040ef42d85a2,15,0xe0000b42fb5a1,19,0x2040b43db5b1 => 0x1040ef42d85a2,12,0x40800b43fb5a1
0x1081808020042D,1144,1940,25,0x10218080400b41 => 0x208004800c045a,14,0x20830100400bc0,16,0x2023010020022d => 0x1100050018082d,10,0x2083010040085a
0x10038080000C5E,1144,1600,42,0x220f01000045a0 => 0x180d8080001b40,22,0x21001001c085e,31,0x180d8080001b40 => 0x220f01000045a0,17,0x104382800015a0
0x100000B42005A1,1140,2271,21,0x200b440082d => 0x2b440082d,11,0x80000b40065a0,14,0x4000b440045a => 0x200b44000da,8,0x104000b42005a0
0x210018280003D,1140,1744,44,0x3c00018805a => 0x390000e002d,23,0x3100218005e,32,0x3000418000845a => 0x190020c022d,17,0x108009a402d
0x1007FE8020042D,1140,1592,29,0x20077900243b41 => 0x2007e70020cb41,20,0x2007f700200bc1,23,0x1005fe803005b0 => 0x22076f00208b41,16,0x1047b682200bc0
0x100400843DF421,1138,1720,23,0x1003828441e622 => 0x220407043d8822,15,0x100208842db431,18,0x1003828441e622 => 0x220407043d8822,12,0x1005868431c421
0x800180200021,1136,2564,19,0x1010000082030 => 0x810000082044,12,0x800180200840,17,0x1010000082030 => 0x810000082044,10,0x4000180003040
0x1085C084200C61,1136,1892,51,0x308840842c4460 => 0x106180c4200c61,27,0x2083c104200863,36,0x308842840c2460 => 0x106180c4200c61,18,0x2083c104200863
0x10800080200C63,1130,2368,44,0x20090020039c => 0x400090020039c,22,0xc000080400c63,26,0x400090020039c => 0x20810020039c,14,0x11000080400c63
0x108401843DCC21,1130,1666,64,0x20838d04198831 => 0x30c38184419822,32,0x7001843dcc21,56,0x20838d04198831 => 0x2033090419b830,28,0x7001843dcc21
0x2100004018421,1128,2248,18,0x212000401c020 => 0x10080004018230,11,0x3000000411c020,14,0x212000401c020 => 0x10080004018230,9,0x800800405c020
0x10040000000FE1,1128,1968,19,0x20040000040b5a => 0x10100000004fe0,13,0x12000000047f,16,0x2000800001fe0 => 0x12000004007f,10,0xa0008000005ad
0x1007908030042D,1125,1516,65,0x20431100200bc3 => 0x20071900244b40,40,0x2003890004bb40,51,0x204311002008de => 0x20071900244b40,30,0x20030f0000985a
0x11840080000463,1124,2192,60,0x21800280100063 => 0x11820880101060,31,0x2180830000018c,41,0x1810800104461 => 0x11820880101060,21,0x21808300000063
0x1023B68100002D,1124,1670,27,0x2023251100062d => 0x2063251100022d,17,0x202025019c085a,21,0x202024811c845a => 0x2023251100062d,13,0x1023a4818005a1
0x100580803C7421,1124,1624,53,0x20180d805c0c22 => 0x104407803c0c41,27,0x200701003c7841,43,0x20180d805c0c22 => 0x204707003c0841,22,0x180580802c3621
0x100400802C3401,1120,2240,16,0x200b0100203011 => 0x22030100203401,10,0xa000100586802,11,0x180d00580801 => 0x20080c804c0600,7,0x10040e802c0400
0x10040085AC043D,1118,1676,22,0x8100105bc085a => 0x20430105a007a2,13,0x10040085ac043d,17,0x20438105a005a2 => 0x8100105bc085a,10,0x18040085ac042d
0x10858087A00C2D,1118,1508,45,0x108580c5a000de => 0x21038107a005a3,29,0x10804885ac442d,33,0x11058087a0023d => 0x10224085bc045a,21,0x2300087ac043d
0x100400F62005A1,1117,1932,47,0x20004f6000b46 => 0x81800f60025a0,24,0x20400f62005b0,32,0x20004f600045e => 0x180800f60025a0,16,0x20440b40265a0
0x188400F4200C61,1114,1640,46,0x30c000f4204861 => 0x65200b6200388,23,0xe0800f4401c60,34,0x30c000f4204861 => 0x61240b4204388,17,0xe0800f4401c60
0x1084008C2F8463,1112,2104,44,0x2083030c438463 => 0x2103030c438463,24,0x70008c4f8463,28,0x86088c0fe460 => 0x1105888c03e860,15,0x70008c4f8463
0x1085F084000463,1105,1896,59,0x308430860c0461 => 0x308032861c0460,32,0x208ff104000860,41,0x308032861c0460 => 0x308430860c0461,23,0x108ff084000460
0x100190802C0421,1104,1936,34,0x5809c0c41 => 0x100190804c1408,19,0x20031500180841,27,0x11805c1c08 => 0x20030500980841,14,0x20030510180842
0x10F4008080047F,1104,1628,50,0x21681280000fe2 => 0x20f48100800fe0,30,0x21788100800b5a,42,0x21681280000fe2 => 0xb780008045ad,26,0x21788100800fe0
0x3FE0000041C,1092,1600,27,0x2200670004c841 => 0x18003c001e1022,14,0x3fe00000621,20,0x2018e10000f440 => 0x10443100264821,11,0x3fe0000041c
0xB4008210002D,1090,2068,24,0x1688010002002d => 0xb441000005a2,13,0x168010204002d,17,0xb500400000da => 0x1688010002002d,9,0xb400820007a0
0x10000085AC0421,1089,1895,23,0x20030105a00222 => 0x8100105b80820,13,0x10400085ac0420,18,0x8100105b80820 => 0x2400085ac0440,10,0x10518085a00008
0x80800C23,1086,2040,33,0x2100000880230 => 0x21280101100,19,0x11200001c40,21,0x1280001310 => 0x2100000880230,13,0x3100010008c
0x108000B5A00C21,1082,1992,34,0x31000b5a00841 => 0x108800b5a000c4,21,0x108008b5a04021,23,0x31000b5a00821 => 0x110800b5a00103,14,0x3200b5b00180
0x108000F46005A3,1080,1880,47,0x302000f460082d => 0x40040b4600c3d,26,0x61000b46205a1,33,0x40440b46007b0 => 0x40040b46007b1,18,0x108006b40235a0
0x100580802C7421,1080,1740,31,0x180d805c0c22 => 0x4407803c0c41,16,0x30078f80200840,23,0x201301005c6822 => 0x30478180203041,12,0x30078f80200041
0x10078080200C61,1078,1808,49,0x18018a80002c60 => 0x200c00801c6460,25,0x105000804c0463,36,0x20088300581860 => 0x18018480005c60,18,0x180c00804c0462
0x10840085AC0461,1077,1562,42,0x8880105bc0860 => 0x11038085a00198,23,0x840085bc0461,31,0x8880105bc0860 => 0x11038085a00198,17,0x600105bc0861
0x10840080200C63,1070,2284,26,0x40c8100204c60 => 0x30200280500063,14,0x310c0100200461,16,0x4088300003c60 => 0x30200900240063,9,0xe500100200461
0x183800C60001C,1067,2060,26,0x660008c6000c1 => 0x2180068c106040,16,0x183800c60001c,18,0xc30010c600106 => 0x1810c0c043820,11,0x183800c60001c
0x100400803C3461,1064,1744,42,0x10198080406862 => 0x20470100203461,21,0x220b0f00400188,32,0x201b0100446062 => 0x10458080303061,16,0x10078e80200308
0x10800180600C21,1056,2168,58,0x4100180600311 => 0x18600180600110,29,0x3180006c0018,37,0x820018060088c => 0x18600180600110,19,0xc000180600183
0x80200C23,1056,2108,26,0x8400200481008 => 0x2100500000230,15,0x30c00104020,17,0xc0000280230 => 0xc8100240008,10,0xf0000300020
0xE1000F5A00080,1054,1922,33,0x61800b5b20000 => 0x41040b5a00884,21,0x3048b5a04080,23,0x40c00b7a00801 => 0x82008b5a20084,14,0x188000f5a00210
0xF400818C043D,1054,1532,27,0x216b011100062d => 0x18b4011118085a,14,0x216b9301000b40,21,0x216b011100062d => 0x1178011118085a,12,0x217b010180005e
0x2108018C400C62,1052,2128,26,0x2230018c204460 => 0x884098c006460,13,0x2108018c400c62,22,0x2230018c204460 => 0x884098c006460,11,0x1084018c400c62
0x1800000000421,1048,2620,16,0x4200000040820 => 0x1800000040104,9,0x21880000000040,14,0x4200000004041 => 0x1800000040104,8,0x1880000000420
0x10000080000C63,1048,2144,77,0xa500000081060 => 0xa500000084060,39,0x880000c63,47,0xa500000081060 => 0xa500000084060,24,0x880000c63
0x100400B42D85A1,1048,1748,22,0x204400b44d85a0 => 0x4204b40dc5a0,13,0x101000b42dc5a0,16,0x24000b45d85a0 => 0x104004b40d87a0,9,0x180400b42d85a0
0x108400B40D85A3,1048,1508,26,0x8202b41d85b0 => 0x40202b40d95a2,16,0xe1000b40d87a0,21,0x30008b40dc5a1 => 0x102008b40dd5a0,12,0x27000b40d85a1
0x100790802005AD,1043,1406,62,0x100011005c087f => 0x10419280400fe0,32,0x10019e800005ad,48,0x104192804005ad => 0x100394800045ad,24,0x180590802005ad
0x1023A48100043D,1042,1536,19,0x2020a5011808da => 0x1021ac81000bc1,13,0x20232d010008da,15,0x2023250104083d => 0x1021a48110045e,12,0x1821a6810007a0
0x108C00802C7421,1040,1824,29,0x10238080207c41 => 0x208f8100407102,17,0x880e805c1442,22,0x20238100407c22 => 0x110b8280407102,13,0x108b8080406c42
0x21000188C09C46,1040,1416,58,0x1139208cc0022 => 0x1118c0888d044,40,0x30b9018580044,43,0x11300185c9088 => 0x31181388c00110,31,0x30392185800c0
0x168400F4200463,1036,1664,39,0x37800f4204308 => 0x316800f4204061,23,0x2f0000f4400c62,29,0x30b400b432010c => 0x8f400f4204460,18,0x10b400b620019c
0x1680000C1FF060,1032,1476,34,0x178810c23c460 => 0x1e80090c278062,19,0x168000c1ff060,27,0xf5000c479860 => 0x179000c33c460,14,0xb4000c1ff060
0x10058085AC0431,1032,1422,49,0x18080185bc0c20 => 0x22040185bc0c40,26,0x10018085bc440c,33,0x8180185bc0c20 => 0x10458085ac0608,18,0x20438105b8080c
0x10008280007F,1030,1638,31,0x1001200047f => 0x10040800fe1,18,0x10008280007f,25,0x8001082000fe0 => 0x20041008005ad,14,0x10280087f
0x10039A80008401,1030,1576,68,0x201b0110800091 => 0x2440110980806,34,0x22030910800814,56,0x20440110980806 => 0x201b0110800881,28,0x22080110984880
0x108000B7A0042D,1028,1916,22,0x11000b7a00b44 => 0x22000f5a000da,13,0x8000b5a245a1,15,0x102040b5a00b44 => 0x208800b5a205a0,9,0x40000f5a0043d
0x84318620042D,1028,1496,43,0x1080358402082d => 0x81f00438005a,23,0x8134061c002d,31,0x1080358402082d => 0x81f00438005a,17,0x8134061c002d
0x10000085AE0401,1026,1770,22,0x100180c5a00801 => 0x200400c5ac0400,12,0x10020087ac0400,17,0x200400c5ac0400 => 0x100180c5a00801,9,0x100188c5a00200
0x10018080200C61,1020,1900,24,0x220f0100400108 => 0x180d8080200108,15,0x20030500000863,17,0x40900384860 => 0x22530500000060,12,0x200b0100002c60
0x100400B5A00421,1019,1878,19,0x200400b5a00888 => 0x20800b5b00104,13,0x180400b5a04100,14,0x104200b5a00088 => 0x100800b5a00222,10,0x180400b5a00300
0x108400F62007A1,1017,1816,48,0x22048b41235a0 => 0xe0006f6000b44,24,0x60040b41275a0,35,0x22048b41235a0 => 0xe0006f60005a2,18,0x10804eb40205a1
0x80200420,1004,2968,11,0x480041 => 0x8010000400008,9,0x80400420,9,0x8010000400040 => 0x8000500000008,6,0x880200020
0x108400B46007A1,1003,1846,41,0x60600b460082d => 0x11000cb41035a0,21,0xe000cb40027a0,29,0x3000cb4003bc0 => 0x108600b46005b0,17,0x60800b46007a2
0x100400B7A00401,1002,1842,18,0x204000f5a00810 => 0x200400f5a00801,12,0x104400f5a00080,13,0x100240b5a00804 => 0x200400b5a20081,9,0x100400b7a00401
0x13FE0084002D,1000,1336,78,0x20126121490da => 0x11a44084db44,40,0x851b6028005a2,58,0x209b0502008de => 0x3010370280062d,31,0xa41b6500005b0
0x108600841DC421,998,1528,70,0x20338104019c22 => 0x20838304058831,35,0x18c400841dc420,54,0x308003041d8831 => 0x60409041dc821,27,0x18c400841dc420
0x100400B43DC5A1,994,1440,24,0x24204b40dd5a0 => 0x204400b44d87a1,14,0x20800b40df7a0,18,0x24004b40dd7a0 => 0x204400b44d87a1,12,0x180800b40df5a0
0x100000806C0423,992,1754,26,0x22030500002c40 => 0x18018480002c20,13,0x200f8100600040,20,0x18018480002c20 => 0x22030500002c40,11,0x2000100780843
0x10800084218C23,987,1796,48,0x412080439c020 => 0x8610004258230,24,0x30800104418823,28,0x8610004258230 => 0x412080439c020,14,0x30800104418823
0x10440085AC043D,985,1410,26,0x200b8105a007a2 => 0x18080105bc085a,15,0x10440085ac442d,19,0x18100105bc085a => 0x200b8105a00b46,13,0x500105bc482d
0x10858087AC0431,985,1324,81,0x108b8087ac0422 => 0x3040187bc0c41,41,0xc40187bc0c30,55,0x30838187a00622 => 0x8880187bc0c18,28,0x30c78187a00808
0x800084238C23,980,1744,42,0x20c90405e020 => 0x8d0006218c20,24,0x8c0084438023,24,0x8c8106258020 => 0x20c90405e020,14,0x81c604059020
0x13FE0090002D,980,1312,92,0xa6080d0945e => 0x2000691024cbc1,46,0xa45b0502007a0,72,0x200c611004ebc0 => 0x30086000d8905e,36,0x10127e8090002d
